,Unnamed: 0,id,image,hint,trans,problem,correct_answer,answer,label
13,119,670fa6c2bf665b7182a99b58,https://ucarecdn.com/5e81bf92-1c4c-4c53-9358-9e5a5ce4c2a2/,It looks like you reversed the fractions—maybe double-check which fraction should be inverted before multiplying.,$\frac{\frac{2}{5}}{\frac{4}{1}} = \frac{2}{5} \cdot \frac{1}{4} = \frac{2}{20}$,"""$4/{\\Large\\frac{2}{5}}=$""","[""10""]","[""[1/[10]]""]","[6, 7, 8, 9, 10]"
14,128,670f8100aa6ba98823e78917,https://ucarecdn.com/e37e97a4-4f75-439d-a61e-4ee8f469f6f3/,"Double-check your addition of 470 and 298, as the sum seems to be off.","470+298=
968-760=208
205","""Anti har 965 kr. Han köper ett par skor för 470 kr och en keps för 298 kr. \n\nHur mycket pengar har han kvar? Använd räknare när du löser uppgiften.""","[""197kr""]","[""205""]","[0, 1, 2, 3, 4, 5]"
15,131,670e85781a0511cac9e9c6cd,https://ucarecdn.com/393a2cf8-fa56-4813-9fb9-a801da421857/,Make sure you add 70 and 20 first and then subtract 50 correctly—check that subtraction step closely.,"+20
50
70+20=90","""Find the missing number.\n\n$\\quad \\underline{\\ \\ \\ \\ \\ } + 50 = 70 + 20$""","[""40""]","[""20""]","[0, 1, 2]"
16,135,670f71648b32d2ba3efaf00e,https://ucarecdn.com/2c4ba9af-ec07-4366-b7bd-a8671305fb82/,Check your operations: try checking if you should divide 5 by 0.6 instead of subtracting numbers with decimals.,"5l
1)0,6

  0,6
  -0,8
  -------
 24,8","""Mario behöver 5 liter sportdryck. Han köper flaskor som innehåller $0{,}6$ liter. \n\nHur många flaskor måste han köpa?""","[""9""]","[""24,8""]","[5, 6, 7, 8]"
17,139,6708eefabec031f9ff3c3af5,https://ucarecdn.com/4c208fb3-dd3e-41cb-bf76-c07e56e44999/,Take another look at your subtraction step to see if you lined up the numbers correctly.,1079 - 100 = 9979,"""Skriv det tal som är $100$ mindre än $1\\ 079$.""","[""979""]","[""997""]","[8, 9, 10]"
18,159,6708e7e23617e5f5b55205db,https://ucarecdn.com/7b445589-27ff-40a5-b00e-45795d30fa35/,It looks like you added 1 instead of following the pattern—check if the difference between numbers is consistent.,"699+1=700
","""Vilket tal kommer näst? \n\n$695 \\hspace{0.5cm} 697 \\hspace{0.5cm} 699 \\hspace{0.5cm} \\underline{\\hspace{1cm}}$""","[""701""]","[""700""]","[3, 4]"
19,163,670f970da75252c2be7c9d3c,https://ucarecdn.com/63e417fa-0e9b-4c80-bd38-89170c308981/,Double-check how you arranged the digits to form the next biggest and next smallest numbers as required.,"9753
9753-3579=6174","""Använd de fyra största udda siffrorna mellan 1 och 9 för att bilda två fyrsiffriga tal: det näst största talet och det näst minsta talet. Varje siffra ska användas en gång i varje tal.\n\nVad är differensen mellan det större och det mindre talet?""","[""6138""]","[""6174""]","[11, 12, 13, 14, 15, 16, 17, 18, 19]"
20,169,670f9afba75252c2be7d9762,https://ucarecdn.com/af4a9c6c-eb15-4648-a3b8-f521a5bc25c3/,"Make sure you subtract the number of persons choosing hamburgers and hot dogs from the total number, not just subtract hot dogs from hamburgers.","460 * 0.6 = 276
126","""I ett tält på ett festivalområde äter $460$ personer. Man kan välja mellan hamburgare, varmkorv och pastasallad. Av de som äter i tältet så väljer $60\\ \\%$ hamburgare och $150$ personer väljer varmkorv. Hur många personer väljer pastasallad?"". Problem image: Personer äter mat vid bord.","[""34""]","[""58""]","[10, 11, 12]"
21,172,670f9a997603f7bcf9459d38,https://ucarecdn.com/30ff809b-8c06-4f06-a089-c9cc819efce0/,Look closely at the order of the numbers—it might help to add 56 to both sides instead of subtracting 35.,56-35=21,"""Vilket tal är $x$?\n\n$35 = x - 56$""","[""x=91""]","[""21""]",[3]
22,177,671037899d9c6081aaf8640b,https://ucarecdn.com/167a7f86-b497-47e2-9ca6-09fc0b3e21b5/,Look over whether you should multiply the fractions rather than subtract them.,$\frac{4 \cdot 3}{5 \cdot 3} - \frac{1 \cdot 5}{3 \cdot 5} = \frac{12}{15} - \frac{5}{15} \approx \frac{7}{15}$,"""I kiosken på stranden köper ​${\\Large\\frac{4}{5}}$​ av alla kunder glass. Av dem som köper glass köper ${\\Large\\frac{1}{3}}$ mjukglass.\n\nHur stor andel av alla kunder köper mjukglass?""","[""[4/[15]]""]","[""[7/[15]]""]","[0, 1, 2, 3, 4, 5]"
23,183,670f7ad0eb5afe8d5f063d89,https://ucarecdn.com/252bbb82-6985-46da-b942-0cb1948a6892/,Take another look at your multiplication step when solving 6z = 18—does 6 times 2 make 18?,"16 = 6z - 2 =
+2      +2
6z + 0 = 18
6 * 2 = 18   z = 18
6 * 3 = 18
","""Lös ekvationen.\n\n$16 = 6z - 2$""","[""z=3""]","[""z=18""]","[16, 17, 18]"
24,192,670f6cbe7c6897bcec4fa241,https://ucarecdn.com/349417a1-ba6a-4dfc-a9e8-8f9a4ffc6d6e/,"Double-check if you copied the numbers correctly from the problem description, especially the digits in the numerator and denominator.",30/101,"""Skriv trettiotre hundradelar i bråkform.""","[""[[33]/[100]]""]","[""[[30]/[100]]""]","[1, 2]"
25,207,670902b19ffb986662d8b00d,https://ucarecdn.com/8996ebec-d7bb-48b6-bcbd-0b8af7736081/,It looks like one of your multiplication steps might need a closer look to ensure all terms are correctly doubled.,2*3x + 2(2x-y),"""Teckna ett uttryck för omkretsen av flaggan."". Problem image: Bilden visar en rektangulär flagga med måtten 3x längs den övre kanten och 2x - y längs den vänstra kanten.","[""10x-2y""]","[""10x-y""]",[7]
26,218,670ff38a9d9c6081aae8b50e,https://ucarecdn.com/3015f604-857a-4a62-a3d3-b53eda1ea1c1/,It looks like you might have done the operations out of order—try reviewing which part should be done first.,"7+6×4
=13×4
=52","""$\\color{#505050}\\Large4\\cdot6+7=$""","[""31""]","[""48""]","[6, 7, 8]"
27,222,670f7411937d76225e40fc3b,https://ucarecdn.com/ded49cc2-488f-444f-95e6-b47a22f68f2c/,Double-check how subtraction works—make sure you're removing the smaller number from the larger one.,1000 - 850 = 1850,"""$1\\ 000 - 850=$""","[""150""]","[""1850""]","[11, 12, 13, 14]"
28,228,670f7605434217726ee39346,https://ucarecdn.com/8db7e969-7445-47d1-b386-632f10f87b9c/,Review your division step to ensure 45 was split evenly by 5.,"$\frac{45}{5} = 8$
$X$","""Beräkna.\n\n${\\Large\\frac{45}{5}}=$""","[""9""]","[""8""]",[0]
29,232,670ecbba0555b46a31e07a63,https://ucarecdn.com/547bd714-23ba-48a4-85ef-95135191e6da/,Check if you computed 8 squared correctly.,"(8²+b²)cm=15²cm
72+b²=225-72
-72
b²=153
b=√153 ≈12,37cm","""I en rätvinklig triangel är en kateten $8$ cm och hypotenusan $15$ cm. Hur lång är den andra kateten? Avrunda till tiondelar.""","[""12,7cm""]","[""12,37cm""]","[9, 10]"
30,234,670e9465f9e5b3e873987e27,https://ucarecdn.com/68b08a4a-395b-45d2-9254-2b08485b9775/,"Take another look at how you divided the fractions by multiplying by the reciprocal, as that step might need a small fix.","8/5 / 2/5 = 4/5 =
","""Mikaela har plockat ​${\\Large\\frac{8}{5}}$​ liter hallon. Hon förpackar hallonen i burkar med ​${\\Large\\frac{2}{5}}$​ liter i varje.\n\nHur många burkar behöver hon?""","[""4""]","[""[4/5]""]","[8, 9]"
31,246,670f7d4403162e72bf5d616f,https://ucarecdn.com/8a832e85-3daa-499a-b623-2a6c920ce7b6/,It looks like you may have used subtraction instead of adding the two numbers—check that step carefully!,"147
-95
=052","""Beräkna summan av termerna $147$ och $95$.""","[""242""]","[""52""]","[0, 1, 2, 3, 4, 5, 6]"
32,249,670f6fa203162e72bf58153b,https://ucarecdn.com/d6a6e1bd-aa8e-4718-9712-0b3cffb1cb2f/,Double-check how you lined up and added the products of each digit in 13·11.,"13
*11
-----
13
+ 13
26","""Beräkna.\n\n$13\\cdot11=$""","[""143""]","[""27""]","[6, 7, 8, 9]"
33,263,670f7205937d76225e40435a,https://ucarecdn.com/2bd1971a-8474-4064-b74e-edbfe81225f4/,Check if you subtracted both the flying carpet and sandal costs in your calculation.,6000-3795=2205,"""Aladin har $6\\ 000$ kr. Han köper en flygande matta för $3\\ 795$ kr och sandaler för $1\\ 238$ kr. \n\nHur mycket pengar har Aladin kvar efter köpen?"". Problem image: Bilden visar en stiliserad ikon av en flygande matta. Inga specifika mathematiska data eller dimensioner anges.","[""967kr""]","[""2205""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
34,265,670f9b98c822f8793eb101d8,https://ucarecdn.com/954095df-7005-4d87-a007-811dd6314b14/,"It looks like your calculation might be off by a factor of 100, so please check how you handled the decimals.","70
50
------
35000","""Beräkna med överslagsräkning.\n\n$6{,}7 \\cdot 52{,}2 \\approx $""","[""350""]","[""35000""]","[2, 3]"
35,271,670cbd0460f176750efef5a8,https://ucarecdn.com/6176bb32-416c-43d9-bb11-62183367e3cd/,Dubbelkolla hur du subtraherar hela uttrycket inom parentesen.,"13x - (3x + 6) = 74
10x = 74
74 / 10
10 / 10","""Lös ekvationen.\n\n$13x - (3x + 6) = 74$""","[""x=8""]","[""7,4""]","[13, 14, 15, 16, 17, 18]"
36,290,670fd1fe69c7af1ca6b3d617,https://ucarecdn.com/983c9e55-7e65-4f35-b6ad-764e48f71288/,Double-check if you used the percentage relationship correctly instead of just doubling the given amount.,250 * 2 = 500,"""Hur mycket är det hela?\n\n$200$ % motsvarar $250$ ml""","[""125ml""]","[""500""]","[0, 1, 2, 3]"
37,295,670f856973df73cd4853c7f1,https://ucarecdn.com/5c5a9d59-838f-4c1c-94aa-8696470c0e8f/,Check if you wrote the fraction for 60% instead of subtracting it from 100.,100-60=40,"""Uttryck $60\\ \\%$ i bråkform.""","[""[3/5]""]","[""40""]","[0, 1, 2, 3, 4, 5]"
38,298,670eac9af9e5b3e873a16ea6,https://ucarecdn.com/025c19c2-6f99-47bd-9954-5cf40f133190/,Double-check that you have multiplied the cost for each item by the number Sara bought before adding them together.,"35,00
+3,15
38,15
+8,20
46,35","""Brasiliens valuta heter Brasilien Real ( BRL) 1 BRL $=$ 3 SEK. \n\nI en affär hittar Sara de här sakerna som hon vill köpa.\n- Visselpipa 3,15 BRL\n- T-shirt 35,00 BRL\n- Vimpel 8,20 BRL\n\nSara köper fyra visselpipor, en T-shirt och två vimplar.  Hur mycket ska hon betala i BRL för alla saker tillsammans? Svara utan enhet. *Visa hur du löser uppgiften.*""","[""64""]","[""46,35""]","[0, 1, 2, 3, 4, 5, 6]"
39,308,670f9b66eba83c33e453a329,https://ucarecdn.com/c9f819a3-0977-4314-98a1-c6ccee21a9be/,Double-check how you subtracted by finding a common denominator and subtracting only the numerators.,5/6 - 1/3 = 1 1/3,"""Visa hur du löser uppgiften.\n\n${\\Large \\frac{5}{6}} - {\\Large \\frac{1}{3}} = $""","[""[1/2]""]","[""1[1/3]""]","[7, 8, 9, 10]"
40,310,670f5ce69ecb7415733687a3,https://ucarecdn.com/b32b9109-5418-4e4c-b69c-2eabd4453d18/,Check your multiplication step—double-check how you obtained 8 and 4 from 3200 and 80.,8 * 4 = 3200,"""Vilket tal är $x$?\n\n$3\\ 200=x \\cdot 80$""","[""x=40""]","[""n""]",[0]
41,333,670cba452497ff7f949de1ab,https://ucarecdn.com/e174eb73-cde0-4cea-a19f-2c30b9802ecb/,Double-check if you correctly used the rectangle's full dimensions and the triangle's area instead of just subtracting the numbers.,6 - 2 = 4,"""Hur stor yta är vit?"". Problem image: Bilden visar en rektangel med en rosa triangel inuti. Rektangelns längd är 6 centimeter och bredden är 2 centimeter. Triangeln täcker en del av rektangeln.","[""6cm^[2]""]","[""8""]","[0, 1, 2]"
42,336,670919e6fae1558a24f86f11,https://ucarecdn.com/d6d39788-2804-47b3-a29f-fc55307ef8f2/,"Check if you're rounding 39 correctly, since it might be closer to 0 than 100.","189+39 \approx 200+100
200+100=300","""Avrunda termerna till hundratal och beräkna med överslagsräkning.\n\n$189+39 \\approx$""","[""200""]","[""300""]","[8, 9]"
43,337,670f9ec24e73b7bed2b3b2dd,https://ucarecdn.com/d49c97b3-242f-476f-b1ce-616b4cce73c1/,Double-check whether you should divide 360 by 20 instead of subtracting 20.,"360
-20
=34","""Niklas har $360$ kr i tjugokronorssedlar. Hur många tjugokronorssedlar har han?""","[""18""]","[""34""]",[8]
44,338,670caf1a100ce078415e66b8,https://ucarecdn.com/61afd2e9-5e87-4f57-9069-647fa3f97934/,Look over your steps to see if you accidentally added a number instead of rounding the decimal.,"14,07 + 3 = 15","""Avrunda till heltal.\n\n$14{,}07$""","[""14""]","[""15""]","[0, 1, 2, 3, 4, 5, 6]"
45,350,670faa77bf665b7182aa9ed2,https://ucarecdn.com/7505c0d3-b94e-44ec-8f42-c137a1c53f3c/,Double-check your addition of 235 three times to see if every digit adds up correctly.,"1
  235
+235
+235
  805","""Stina tjänar 235 kr per vecka på sitt jobb. \n\nHur mycket har hon tjänat in efter tre veckor?"". Problem image: En illustration av en plånbok med några sedlar och mynt som sticker ut.","[""705kr""]","[""805""]",[18]
46,352,671025239d9c6081aaf67a8f,https://ucarecdn.com/e212a9ab-1b36-40f9-9708-97792126295f/,Double-check how you multiply the fractions so that you handle both numerator and denominator correctly in every step.,"$\frac{1}{4} \times 4 - \frac{2}{3x} = \frac{7}{3x} \times 4$
$1 - \frac{2}{3x} = \frac{7}{12x}$
$\frac{2}{3x} \sim \frac{7}{7}$
$1 - 2 = \frac{7}{36}$","""Lös ekvationen.\n\n${\\Large\\frac{1}{4}}-{\\Large\\frac{2}{3x}}={\\Large\\frac{7}{3x}}$""","[""x=12""]","[""x=[1/[12]]""]","[12, 13, 14, 15, 16, 17, 18, 19]"
47,357,670fa30fa75252c2be802e40,https://ucarecdn.com/e0b3bdc1-e98e-4d89-9def-356fcd8c7d20/,Double-check whether you've calculated the completed work or the homework still left by subtracting your sum from the whole.,(1*2)/(2*2) = 2/4 + 1/4,"""Siri har gjort hälften av dagens läxa. Innan kvällsmaten ska hon göra ytterligare en fjärdedel av läxan. Hur stor andel av läxan är kvar efter maten?"". Problem image: En öppen läxbok med en penna ovanpå.","[""[1/4]""]","[""[3/4]""]","[7, 8, 9, 10, 11, 12, 13, 14, 15]"
48,364,6708e4628b53e73f11396998,https://ucarecdn.com/6b824619-14b8-4160-a254-e694917bd53d/,"Double-check that you didn't leave out the ""x"" when setting up your equation.",+30=100,"""Vilket tal är x ?\n\n$x + 30 = 100$""","[""x=70""]","[""130""]","[6, 7, 8]"
49,366,670f6e8b8b32d2ba3ef9d83c,https://ucarecdn.com/d9d45eaf-0216-4990-a684-307cf114540c/,"Check your subtraction step closely, especially how you subtract 100 from 2006.",2006 - 100 = 1816,"""Rut har $2\\ 006$ kulor. Om hon ger bort $100$ stycken, hur många har hon då?""","[""1906""]","[""1816""]","[10, 11, 12]"
50,367,670f996ec822f8793eb061da,https://ucarecdn.com/109d14bd-7632-463e-80f0-fd912cabb509/,"Double-check how you applied the division operation, as it seems the numbers might have been reversed along the way.",36/3=21,"""${\\Large \\frac{36}{3}}=$""","[""12""]","[""21""]","[5, 6]"
51,374,670f8041eb5afe8d5f082f03,https://ucarecdn.com/5cd2fb47-13c5-4fc6-8bbb-3abea4cf81e6/,"Double-check that your answer is written as a fraction, not as a whole number.","1/7 + 6/7 = 1
","""Beräkna och svara i bråkform. \n\n$ {\\Large \\frac{1}{7}} + {\\Large \\frac{6}{7}} =$""","[""[7/7]""]","[""1""]",[10]
52,382,67090c61091cb9661ad9f74b,https://ucarecdn.com/e79717bb-2094-4aa0-a95e-c8330afb042d/,Revisit how you find the square's side from its area and then use that value to connect correctly to the triangle's perimeter.,"$\frac{81}{4} = 20,25$
","""En kvadrats omkrets är fyra gånger större än omkretsen för en liksidig triangel. Kvadratens area är 81 cm$^2$. \n\nBeräkna längden på triangelns sida.""","[""3cm""]","[""6,75cm""]","[3, 4, 5]"
53,386,67101d4a9d9c6081aaf52f67,https://ucarecdn.com/d80b7907-c6b6-482a-9b7f-b16ae834b638/,Check if you can divide both the top and bottom by the same number to simplify your fraction further.,$5 \cdot \frac{7}{10} = \frac{35}{50}$,"""Beräkna och svara i enklaste form.\n\n$5 \\cdot {\\Large\\frac{7}{10}}$""","[""[7/2]""]","[""[[35]/[50]]""]","[8, 9, 10, 11]"
54,389,671026319d9c6081aaf6a19a,https://ucarecdn.com/b68719e7-9cdb-43fa-b507-fd2683fc60f7/,Double-check your distribution of 4—make sure you multiply it with both 2x and -1 correctly.,"4(2x-1)=12
4+2x=8x
4+1=4
8x-4=12-4=8
$\frac{2x}{8}-\frac{8}{8}=\frac{12}{8}$","""Lös ekvationen.\n\n$4(2x -1) = 12$""","[""x=2""]","[""1""]","[4, 5]"
55,393,670fafd6fe6d7613bd56e46f,https://ucarecdn.com/f8968b15-6e05-4ed9-863a-02bfec6914dc/,Double-check your subtraction of the exponents—make sure 18 minus 11 gives you the right number.,12^18/12^11 = 12^(18-11) = 12^17,"""Beräkna och svara i potensform. \n\n${\\Large\\frac{12^{18}}{12^{11}}}= $""","[""12^[7]""]","[""12^[17]""]","[15, 16]"
56,401,670ffd639d9c6081aaebb139,https://ucarecdn.com/47b934b6-b812-41ef-a8d7-09549c129e1c/,Double-check how you rounded each number since a small rounding error early on could change your final result.,"50-30=20
20+12=32","""Avrunda termerna till tiotal och beräkna med överslagsräkning.\n\n$48{,}7-29+12{,}2 \\approx$""","[""30""]","[""32""]","[11, 12]"
57,403,6708eaaabec031f9ff3b006f,https://ucarecdn.com/58c30641-5bca-4fef-89e6-f5e9f909d0e0/,Remember to add the fraction parts by keeping the same denominator instead of adding the numbers on top and bottom separately.,"8 + 8 = 16
2 + 1 = 3
","""Vilket tal är $x$?\n\n${\\large\\frac{2}{8}}+{\\large\\frac{1}{8}}+x=1$""","[""x=[5/8]""]","[""3""]","[0, 1, 2, 3]"
58,407,670fdb5d69c7af1ca6b6c9dd,https://ucarecdn.com/a839d5a7-3323-44e6-8ba9-15a0c8d7a8ec/,Double-check your division by 100—it should give a smaller number before multiplying by 5.,160/100 = 16 * 5 = 80,"""Hur mycket är 5 % av 160 kr?""","[""8kr""]","[""80""]","[7, 8]"
59,412,670900ac1fed23fde90f88e2,https://ucarecdn.com/d5b4b387-e02c-4ccb-81fa-ac594a122cf8/,Double-check your fraction simplification when solving for x.,"$\frac{8x}{6}+\frac{3x}{6}=1-\frac{9x}{6}$
$\frac{11x}{6}=1-\frac{9x}{6}$
$\frac{11x}{6}+\frac{9x}{6} = 1 - \frac{9x}{6} + \frac{9x}{6}$
$\frac{20x}{6}=1$","""Lös ekvationen. Svara i bråkform.\n\n ${\\Large\\frac{4x}{3}}+{\\Large\\frac{x}{2}}=1-{\\Large\\frac{3x}{2}}$""","[""x=[3/[10]]""]","[""[3/9]""]","[27, 28, 29, 30, 31]"
60,420,6708ebd6a99d2718d35e9590,https://ucarecdn.com/9147ff9f-9161-4fae-a578-7cc8ac509fa9/,"Check if you wrote the starting number correctly, as it looks like you might have dropped a digit before adding 10.",1189+10=1199,"""Innebandylagets minibuss har har gått $11\\ 899$ kilometer. Hur långt har den gått när de kört tio kilometer till?""","[""11909km""]","[""1199""]","[0, 1, 2]"
61,430,671018b89d9c6081aaf45db0,https://ucarecdn.com/dd8258da-1194-4a70-97c0-8d8bca4c9f80/,"Double-check the sign when subtracting the (2 – 4) term, it might have been misinterpreted.","-3 - 2 = -5
","""Beräkna.\n\n${\\Large\\frac{6}{-2}}-(2-4)=$""","[""-1""]","[""-5""]","[0, 1]"
62,439,670c0754924650c378abe37c,https://ucarecdn.com/54bd2983-47be-4f45-af11-ccba7486842b/,"Double-check that you only moved numbers outside the square root, and didn’t mistakenly add extra numbers into the square root itself.","√(3x-5)+5=11+5
√(3x)=16/3
√(53)","""Vilket tal står $x$ för?\n\n${\\sqrt{3x\\ -\\ 5}}=11$""","[""x=42""]","[""√[5,3]""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
63,453,670f6e1e434217726ee09d9d,https://ucarecdn.com/e211287e-ef63-4823-aebc-95b122c89f6f/,"Double-check your multiplication for the third product, as it might be a multiplication error.","14 * 3 = 42
23 * 2 = 46
58 * 3 = 162
162 + 46 + 42 = 230
","""Samira och Leo ska göra karameller. De köper tre burkar citronsyra, två flaskor karamellfärg och tre burkar päronsmak.\n\nHur mycket kostar ingredienserna tillsammans? *Visa hur du löser uppgiften.*"". Problem image: Tre olika produkter visas. Första produkten är en burk citronsyra med pris 14 kr. Andra produkten är en flaska karamellfärg märkt grön med pris 23 kr. Tredje produkten är en burk med päronsmak och priset är 58 kr.","[""262kr""]","[""230kr""]","[16, 17, 18, 19]"
64,469,670ff0789d9c6081aae7e2bc,https://ucarecdn.com/9261fee3-d5d6-43ad-ace6-f914b29bb742/,Double-check how you converted and lined up the decimal parts when changing 3/4 into a decimal so that the digits remain in the right place.,"3,4 - 3/4
3,40 + 75 =
3/4 = 75
40 + 75 = 115","""$3{,}4-{\\Large\\frac{3}{4}}=$""","[""2,65""]","[""2,64""]","[4, 5, 6]"
65,470,67100eb8697899d620b4faa7,https://ucarecdn.com/a9f12989-e89d-455f-bc1d-e7ed504e27d0/,Take another look at your multiplication to see if it really equals 105.,1.6 x 8 x 12 = 105,"""Vilka tal kan $x$, $y$ och $z$ vara om alla talen är olika? Ge ett svar där minst ett av talen är i decimalform. \n\n${x \\cdot y \\cdot z}=105$""","[""x=1,5 y=7 z=10""]","[""x=1,6 y=8 z=12""]","[8, 9, 10]"
66,474,670f674cade503780787f5d6,https://ucarecdn.com/6f8aa278-4ab7-4278-b801-f7fb2209b3c6/,"Double-check your addition, you might have missed a carry.","89
+98
=177","""Sofia försöker först 89 gånger, sen 98 gånger till innan hon lyckas med ett nytt trick på studsmattan.\n\nHur många gånger har Sofia försökt utan att lyckats totalt?"". Problem image: En person som hoppar på en studsmatta.","[""187""]","[""177""]","[9, 10, 11]"
67,489,6708ecbbf875df700ecf2bef,https://ucarecdn.com/01e6d0d3-1789-485a-a630-8ecd53a42236/,Double-check that you used AC as 75 km exactly as stated in the problem.,"AC ->:70km AD->:?
BD ->:45km
D=25>x
BC->:20km","""Byarna $A$, $B$, $C$ och $D$ ligger (inte nödvändigtvis i den ordningen) längs en rak väg. Avståndet mellan $A$ och $C$ är $75$ km, avståndet mellan $B$ och $D$ är $45$ km och avståndet mellan $B$ och $C$ är $20$ km. \n\nVilket av följande avstånd kan det inte vara mellan $A$ och $D$?""","[""80 km""]","[""140 km""]","[3, 4, 5]"
68,495,6708ffeb1be07639a70d8d1f,https://ucarecdn.com/8310105b-3808-467e-8d23-b7c92fe8e7f6/,"Take a closer look at how you subtract each digit, especially the ones, to see where the subtraction might have gone off track.","29 - 10 = 22
29 - 12 = 18","""Beräkna.\n\n $29 - 12=$"". Problem image: En subtraktionsuppgift presenterad i kolumnform med två tal ovanför varandra separerade av ett horisontellt streck. Det första talet är 29 och det andra talet är 12. Subtraktionstecknet finns till vänster om de två talen.","[""17""]","[""18""]","[17, 18]"
69,501,670f7d8a937d76225e44bec5,https://ucarecdn.com/e3f068d2-c0e2-45fa-95c4-db6431604f5b/,Double-check the ones column—you might have added a bit too much there.,"25
+2
=28
","""Beräkna.\n\n$2+25 =$"". Problem image: En additionstabell med två rader och tre kolumner. Övre raden visar siffrorna 2 och 5. Nedre raden visar tecknet för addition och siffran 2. En horisontell linje separerar de två raderna.","[""27""]","[""28""]","[7, 8, 9]"
